Time,Activo,SPOT,pin_probability,liquidity_void_score,dealer_trap_score,nearest_wall_strike,magnet_strike,wall_above_strike,wall_below_strike
2026-07-13 18:38:57,SPY,747.49,0.35,0.0,0.0,750.0,747.0,750.0,724.0
2026-07-13 18:39:56,SPY,747.44,0.35,0.0,0.0,750.0,747.0,750.0,740.0
2026-07-13 18:40:56,SPY,747.46,0.35,0.0,0.0,750.0,747.0,750.0,740.0
2026-07-13 18:41:56,SPY,747.4,0.35,0.0,0.0,750.0,747.0,750.0,740.0
2026-07-13 18:42:56,SPY,747.24,0.35,0.0,0.0,750.0,747.0,750.0,740.0
2026-07-13 18:43:56,SPY,747.23,0.35,0.0,0.0,750.0,747.0,750.0,740.0
2026-07-13 18:44:56,SPY,747.16,0.35,0.0,0.0,750.0,747.0,750.0,740.0
2026-07-13 18:45:56,SPY,747.26,0.35,0.0,0.0,750.0,747.0,750.0,740.0
2026-07-13 18:46:56,SPY,747.13,0.35,0.0,0.0,750.0,747.0,750.0,740.0
2026-07-13 18:47:56,SPY,747.12,0.35,0.0,0.0,750.0,747.0,750.0,740.0
2026-07-13 18:48:56,SPY,747.26,0.35,0.0,0.0,750.0,747.0,750.0,740.0
2026-07-13 18:49:56,SPY,747.24,0.35,0.0,0.0,750.0,747.0,750.0,740.0
2026-07-13 18:50:56,SPY,747.32,0.35,0.0,0.0,750.0,747.0,750.0,740.0
2026-07-13 18:51:56,SPY,747.27,0.35,0.0,0.0,750.0,747.0,750.0,740.0
2026-07-13 18:52:56,SPY,747.5,0.35,0.0,0.0,750.0,747.0,750.0,740.0
2026-07-13 18:53:56,SPY,747.75,0.35,0.0,0.0,750.0,748.0,750.0,740.0
2026-07-13 18:54:56,SPY,747.81,0.35,0.0,0.0,750.0,748.0,750.0,740.0
2026-07-13 18:55:56,SPY,747.71,0.35,0.0,0.0,750.0,748.0,750.0,740.0
2026-07-13 18:56:56,SPY,747.8,0.35,0.0,0.0,750.0,748.0,750.0,740.0
2026-07-13 18:57:56,SPY,747.86,0.35,0.0,0.0,750.0,748.0,750.0,740.0
2026-07-13 18:58:56,SPY,748.09,0.55,0.0,0.0,750.0,748.0,750.0,740.0
2026-07-13 18:59:56,SPY,748.22,0.55,0.0,0.0,750.0,748.0,750.0,740.0
2026-07-13 19:00:56,SPY,748.79,0.55,0.0,0.0,750.0,749.0,750.0,740.0
2026-07-13 19:01:56,SPY,748.49,0.55,0.0,0.0,750.0,750.0,750.0,740.0
2026-07-13 19:02:56,SPY,748.48,0.55,0.0,0.0,750.0,750.0,750.0,740.0
2026-07-13 19:03:56,SPY,748.46,0.55,0.0,0.0,750.0,750.0,750.0,740.0
2026-07-13 19:04:56,SPY,747.55,0.35,0.0,0.0,750.0,747.0,750.0,740.0
2026-07-13 19:05:56,SPY,747.56,0.35,0.0,0.0,750.0,747.0,750.0,740.0
2026-07-13 19:06:56,SPY,747.46,0.35,0.0,0.0,750.0,747.0,750.0,740.0
2026-07-13 19:07:56,SPY,747.16,0.35,0.0,0.0,750.0,747.0,750.0,740.0
2026-07-13 19:08:56,SPY,747.07,0.35,0.0,0.0,750.0,747.0,750.0,740.0
