signal,n,win_rate,win_rate_barrier,expectancy,expectancy_R,n_barrier,mae,mfe,avg_duration,sharpe_like,sharpe_R,last_updated
PINNING_RISK,698,0.458,0.446,-1.4199,0.095,699,-5.8994,5.3526,60,-0.068,0.112,2026-07-10 21:38:10
ZERO_CROSS_UP,921,0.447,0.411,-4.3681,-0.0175,898,-23.9327,18.0018,60,-0.075,-0.017,2026-07-10 19:38:24
VIX_REGIME_CONFIRM,1000,0.322,0.318,2.2866,-0.032,1000,-20.7797,12.6966,60,0.035,-0.039,2026-07-10 23:59:23
SWEEP_ACCELERATION,190,0.363,0.157,-1.5195,-0.017,375,-29.2934,18.5044,60,-0.028,-0.023,2026-07-10 11:42:23
CALL_SURGE,151,0.417,0.387,-28.6747,0.008,150,-73.7031,39.2574,60,-0.294,0.007,2026-07-10 09:36:23
ZERO_CROSS_DOWN,1000,0.491,0.456,-4.3792,0.121,1000,-21.5572,29.4159,60,-0.075,0.113,2026-07-14 02:35:56
ZERO_PROXIMITY_RESISTANCE,1000,0.344,0.367,-4.3445,0.0864,1000,-5.7284,12.0358,60,-0.091,0.105,2026-07-14 02:37:56
IMBALANCE_REVERSAL,1000,0.443,0.406,-8.0977,0.0643,1000,-23.5906,35.4236,60,-0.107,0.062,2026-07-14 02:34:56
DELTA_DIVERGENCE_BEAR,1000,0.352,0.35,0.4727,0.0687,1000,-21.8226,23.9666,60,0.009,0.073,2026-07-14 02:36:56
REGIME_TRADE_CONFIRM,1000,0.368,0.343,-2.0181,-0.055,1000,-17.8438,14.8869,60,-0.051,-0.063,2026-07-10 22:17:24
FAILED_SQUEEZE,146,0.384,0.262,-11.4983,-0.1761,141,-47.8903,59.779,60,-0.078,-0.173,2026-07-10 09:51:23
DELTA_DIVERGENCE_BULL,364,0.385,0.352,-1.7278,-0.0605,355,-16.5302,11.9323,60,-0.045,-0.064,2026-07-10 16:16:58
CHARM_MOMENTUM_EOD,162,0.519,0.525,6.8887,0.0945,162,-9.4938,19.0916,60,0.116,0.107,2026-07-10 15:42:42
ABSORPTION_REVERSAL,54,0.352,0.333,-7.0961,0.0174,51,-11.7274,13.5961,60,-0.236,0.02,2026-07-14 01:55:56
PUT_SURGE,31,0.548,0.355,0.8629,-0.1403,31,-23.8662,8.6081,60,0.037,-0.139,2026-07-07 23:59:48
WALL_REJECT_CALL,1,1.0,1.0,-6.02,1.5,1,-5.25,17.81,60,-6.02,1.5,2026-07-13 09:33:24
WALL_REJECT_PUT,1,0.0,0.0,-0.42,-1.0,1,-1.71,0.05,60,-0.42,-1.0,2026-07-13 12:22:23
