2025-08-17 21:58:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-17 21:59:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-17 22:00:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-17 22:01:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-17 22:02:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-17 22:03:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-17 22:04:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-17 22:05:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-17 22:06:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-17 22:07:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-17 22:08:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-17 22:09:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-17 22:10:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-17 22:11:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-17 22:12:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-17 22:13:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-17 22:14:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-17 22:15:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-17 22:16:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-17 22:17:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-17 22:18:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-17 22:19:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-17 22:20:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-17 22:21:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-17 22:22:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-17 22:23:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-17 22:24:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-17 22:25:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-17 22:26:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-17 22:27:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-17 22:28:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-17 22:29:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-17 22:30:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-17 22:31:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-17 22:32:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-17 22:33:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-17 22:34:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-17 22:35:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-17 22:36:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-17 22:37:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-17 22:38:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-17 22:39:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-17 22:40:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-17 22:41:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-17 22:42:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-17 22:43:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-17 22:44:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-17 22:45:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-17 22:46:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-17 22:47:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-17 22:48:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-17 22:49:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-17 22:50:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-17 22:51:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-17 22:52:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-17 22:53:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-17 22:54:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-17 22:55:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-17 22:56:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-17 22:57:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-17 22:58:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-17 22:59:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-17 23:00:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-17 23:01:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-17 23:02:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-17 23:03:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-17 23:04:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-17 23:05:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-17 23:06:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-17 23:07:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-17 23:08:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-17 23:09:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-17 23:10:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-17 23:11:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-17 23:12:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-17 23:13:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-17 23:14:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-17 23:15:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-17 23:16:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-17 23:17:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-17 23:18:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-17 23:19:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-17 23:20:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-17 23:21:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-17 23:22:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-17 23:23:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-17 23:24:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-17 23:25:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-17 23:26:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-17 23:27:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-17 23:28:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-17 23:29:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-17 23:30:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-17 23:31:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-17 23:32:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-17 23:33:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-17 23:34:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-17 23:35:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-17 23:36:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-17 23:37:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-17 23:38:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-17 23:39:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-17 23:40:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-17 23:41:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-17 23:42:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-17 23:43:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-17 23:44:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-17 23:45:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-17 23:46:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-17 23:47:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-17 23:48:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-17 23:49:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-17 23:50:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-17 23:51:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-17 23:52:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-17 23:53:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-17 23:54:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-17 23:55:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-17 23:56:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-17 23:57:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-17 23:58:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-17 23:59:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-18 00:00:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-18 00:01:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-18 00:02:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-18 00:03:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-18 00:04:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-18 00:05:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-18 00:06:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-18 00:07:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-18 00:08:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-18 00:09:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-18 00:10:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-18 00:11:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-18 00:12:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-18 00:13:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-18 00:14:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-18 00:15:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-18 00:16:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-18 00:17:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-18 00:18:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-18 00:19:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-18 00:20:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-18 00:21:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-18 00:22:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-18 00:23:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-18 00:24:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-18 00:25:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-18 00:26:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-18 00:27:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-18 00:28:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-18 00:29:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-18 00:30:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-18 00:31:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-18 00:32:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-18 00:33:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-18 00:34:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-18 00:35:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-18 00:36:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-18 00:37:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-18 00:38:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-18 00:39:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-18 00:40:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-18 00:41:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-18 00:42:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-18 00:43:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-18 00:44:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-18 00:45:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-18 00:46:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-18 00:47:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-18 00:48:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-18 00:49:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-18 00:50:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-18 00:51:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-18 00:52:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-18 00:53:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-18 00:54:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-18 00:55:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-18 00:56:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-18 00:57:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-18 00:58:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-18 00:59:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-18 01:00:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-18 01:01:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-18 01:02:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-18 01:03:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-18 01:04:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-18 01:05:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-18 01:06:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-18 01:07:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-18 01:08:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-18 01:09:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-18 01:10:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-18 01:11:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-18 01:12:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-18 01:14:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-18 01:15:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-18 01:16:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-18 01:17:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
2025-08-18 01:18:00,,,,,23850,,,,,,,23725,23500,23500,23900,23712.07
