Time,MAXGEX,MINGEX,MAXVEX,MINVEX,MAXDEX,MINDEX,ZERO,BAC,SAC,BAP,SAP,MAXCP,MINCP,LONGGAMMA,SHORTGAMMA,LONGCALLS,SHORTCALLS,LONGPUTS,SHORTPUTS,INV_BAC,INV_SAC,INV_BAP,INV_SAP,NET_CALL_FLOW,NET_PUT_FLOW,ZERO_OI,SPOT,VANNA_ZERO,CHARM_ZERO,HEDGE_ZERO
2026-09-24 20:31:00,,7650.0,7720.0,,7650.0,8000.0,7696.3,,7700.0,,7700.0,7750.0,7600.0,7650.0,7700.0,7690.0,7720.0,7650.0,7700.0,712.0,5000.0,3927.0,1202.0,-4288.0,2725.0,7707.1,7704.13,7705.06,7704.85,7707.18
2026-09-24 20:32:00,7730.0,,7720.0,,7650.0,8000.0,7697.09,,,,,7750.0,7600.0,7650.0,7700.0,7690.0,7720.0,7650.0,7700.0,714.0,5052.0,3934.0,1243.0,-4339.0,2691.0,7705.94,7704.13,7705.18,7704.93,7705.98
2026-09-24 20:33:00,7730.0,,7720.0,,7650.0,8000.0,7697.0,,,,,7750.0,7600.0,7650.0,7700.0,7690.0,7720.0,7650.0,7700.0,714.0,5080.0,3942.0,1252.0,-4366.0,2690.0,7706.03,7704.13,7705.14,7704.92,7706.08
2026-09-24 20:34:00,,7650.0,7720.0,,7650.0,8000.0,7696.19,,,,,7750.0,7600.0,7650.0,7700.0,7690.0,7720.0,7650.0,7700.0,718.0,5119.0,4032.0,1259.0,-4401.0,2773.0,7707.35,7704.13,7705.05,7704.85,7707.45
2026-09-24 20:35:00,,7650.0,7720.0,,7650.0,8000.0,7695.86,,,,,7750.0,7600.0,7650.0,7700.0,7690.0,7720.0,7650.0,7700.0,750.0,5164.0,4194.0,1259.0,-4413.0,2935.0,7708.6,7704.13,7705.03,7704.81,7708.72
2026-09-24 20:36:00,7730.0,,7720.0,,7650.0,8000.0,7696.78,,,,,7750.0,7600.0,7650.0,7700.0,7690.0,7720.0,7650.0,7700.0,753.0,5213.0,4208.0,1280.0,-4460.0,2928.0,7706.55,7704.13,7705.08,7704.88,7706.62
2026-09-24 20:37:00,7730.0,,7720.0,,7650.0,8000.0,7696.95,,,,,7750.0,7600.0,7650.0,7700.0,7690.0,7720.0,7650.0,7700.0,754.0,5248.0,4213.0,1289.0,-4494.0,2924.0,7706.38,7704.13,7705.09,7704.89,7706.45
2026-09-24 20:38:00,7730.0,,7720.0,,7650.0,8000.0,7697.65,,,,,7750.0,7600.0,7650.0,7700.0,7690.0,7720.0,7650.0,7700.0,772.0,5296.0,4216.0,1306.0,-4524.0,2910.0,7705.68,7704.13,7705.28,7704.96,7705.72
2026-09-24 20:39:00,7730.0,,7720.0,,7650.0,8000.0,7699.49,,,,,7750.0,7600.0,7650.0,7700.0,7690.0,7720.0,7650.0,7700.0,772.0,5336.0,4222.0,1368.0,-4565.0,2854.0,7704.74,7704.13,7711.42,7696.26,7704.75
2026-09-24 20:40:00,7730.0,,7720.0,,7650.0,8000.0,7699.48,,,,,7750.0,7600.0,7650.0,7700.0,7690.0,7720.0,7650.0,7700.0,772.0,5398.0,4224.0,1408.0,-4626.0,2817.0,7704.76,7704.13,7711.35,7696.19,7704.78
