Time,MAXGEX,MINGEX,MAXVEX,MINVEX,MAXDEX,MINDEX,ZERO,BAC,SAC,BAP,SAP,MAXCP,MINCP,LONGGAMMA,SHORTGAMMA,LONGCALLS,SHORTCALLS,LONGPUTS,SHORTPUTS,INV_BAC,INV_SAC,INV_BAP,INV_SAP,NET_CALL_FLOW,NET_PUT_FLOW,ZERO_OI,SPOT,VANNA_ZERO,CHARM_ZERO,HEDGE_ZERO
2026-09-24 20:31:00,,390.0,395.0,,385.0,390.0,391.33,392.0,,,,395.0,391.0,395.0,391.0,395.0,400.0,391.0,391.0,21774.0,6070.0,11043.0,7640.0,15704.0,3403.0,392.39,393.41,393.6,393.5,392.43
2026-09-24 20:32:00,,390.0,395.0,,385.0,390.0,392.11,,,,,395.0,391.0,395.0,391.0,395.0,400.0,391.0,391.0,21774.0,6070.0,11043.0,7640.0,15704.0,3403.0,392.49,393.6,393.77,393.68,392.52
2026-09-24 20:33:00,,390.0,395.0,,385.0,390.0,392.1,,,,,395.0,391.0,395.0,391.0,395.0,400.0,391.0,391.0,21774.0,6070.0,11043.0,7640.0,15704.0,3403.0,392.49,393.57,393.75,393.65,392.52
2026-09-24 20:34:00,,390.0,395.0,,385.0,390.0,391.34,,,,,395.0,391.0,395.0,391.0,395.0,400.0,391.0,391.0,21774.0,6070.0,11043.0,7640.0,15704.0,3403.0,392.4,393.45,393.64,393.54,392.44
2026-09-24 20:35:00,,390.0,395.0,,385.0,390.0,391.32,,,,,395.0,391.0,395.0,391.0,395.0,400.0,391.0,391.0,21774.0,6070.0,11043.0,7640.0,15704.0,3403.0,392.4,393.4,393.59,393.48,392.44
2026-09-24 20:36:00,,390.0,395.0,,385.0,390.0,392.1,,,,,395.0,391.0,395.0,391.0,395.0,400.0,391.0,391.0,21774.0,6070.0,11043.0,7640.0,15704.0,3403.0,392.47,393.62,393.79,393.7,392.51
2026-09-24 20:37:00,,390.0,395.0,,385.0,390.0,392.1,,,,,395.0,391.0,395.0,391.0,395.0,400.0,391.0,391.0,21774.0,6070.0,11043.0,7640.0,15704.0,3403.0,392.46,393.69,393.85,393.76,392.49
2026-09-24 20:38:00,,390.0,395.0,,385.0,390.0,392.1,,,,,395.0,391.0,395.0,391.0,395.0,400.0,391.0,391.0,21774.0,6070.0,11043.0,7640.0,15704.0,3403.0,392.47,393.63,393.8,393.71,392.51
2026-09-24 20:39:00,,390.0,395.0,,385.0,390.0,392.1,,,,,395.0,391.0,395.0,391.0,395.0,400.0,391.0,391.0,21774.0,6070.0,11043.0,7640.0,15704.0,3403.0,392.46,393.69,393.85,393.76,392.49
2026-09-24 20:40:00,,390.0,395.0,,385.0,390.0,392.1,,,,,395.0,391.0,395.0,391.0,395.0,400.0,391.0,391.0,21774.0,6070.0,11043.0,7640.0,15704.0,3403.0,392.48,393.58,393.76,393.66,392.52
2026-09-24 20:41:00,,390.0,395.0,,385.0,390.0,392.1,,,,,395.0,391.0,395.0,391.0,395.0,400.0,391.0,391.0,21774.0,6070.0,11043.0,7640.0,15704.0,3403.0,392.46,393.7,393.85,393.77,392.49
2026-09-24 20:42:00,,390.0,395.0,,385.0,390.0,392.09,,,,,395.0,391.0,395.0,391.0,395.0,400.0,391.0,391.0,21774.0,6070.0,11043.0,7640.0,15704.0,3403.0,392.44,393.75,393.89,393.81,392.48
