Time,Activo,Strike,Type,Contracts,Premium,Price,IV,Delta,Gamma,DealerState,SPOT
2026-06-11 19:40:58,NQ,30010.0,UNUSUAL_CALL_VOL,74,553150.0,74.75,27.51,0.17,0.000645,SHORT_GAMMA,29627.0
2026-06-11 19:40:58,NQ,30000.0,PUT_BLOCK_SELL,29,1302100.0,449.0,28.15,-0.818,0.000658,SHORT_GAMMA,29627.0
2026-06-11 19:40:58,NQ,29900.0,PUT_BLOCK_SELL,42,1591800.0,379.0,28.55,-0.743,0.000792,SHORT_GAMMA,29627.0
2026-06-11 19:40:58,NQ,29850.0,CALL_BLOCK_SELL,84,1045800.0,124.5,28.11,0.295,0.000861,SHORT_GAMMA,29627.0
2026-06-11 19:40:58,NQ,29700.0,CALL_BLOCK_SELL,46,870550.0,189.25,28.99,0.436,0.000952,SHORT_GAMMA,29627.0
2026-06-11 19:40:58,NQ,29650.0,PUT_BLOCK_SELL,41,968625.0,236.25,29.57,-0.515,0.000945,SHORT_GAMMA,29627.0
2026-06-11 19:40:58,NQ,29510.0,CALL_BLOCK_SELL,35,1027250.0,293.5,29.69,0.615,0.000902,SHORT_GAMMA,29627.0
2026-06-11 19:40:58,NQ,29450.0,CALL_BLOCK_SELL,65,2154750.0,331.5,29.99,0.667,0.00085,SHORT_GAMMA,29627.0
2026-06-11 19:40:58,NQ,29440.0,CALL_BLOCK_SELL,26,877500.0,337.5,29.96,0.675,0.000842,SHORT_GAMMA,29627.0
2026-06-11 19:40:58,NQ,29430.0,CALL_BLOCK_SELL,82,2824900.0,344.5,30.06,0.683,0.00083,SHORT_GAMMA,29627.0
2026-06-11 19:40:58,NQ,29350.0,CALL_BLOCK_SELL,165,6583500.0,399.0,30.28,0.745,0.000743,SHORT_GAMMA,29627.0
2026-06-11 19:40:58,NQ,29330.0,PUT_BLOCK_SELL,150,1736250.0,115.75,31.07,-0.245,0.00071,SHORT_GAMMA,29627.0
2026-06-11 19:40:58,NQ,29310.0,CALL_BLOCK_SELL,30,1284000.0,428.0,30.48,0.773,0.000693,SHORT_GAMMA,29627.0
2026-06-11 19:40:58,NQ,29300.0,CALL_BLOCK_SELL,227,9874500.0,435.0,30.47,0.78,0.000681,SHORT_GAMMA,29627.0
2026-06-11 19:40:58,NQ,29300.0,UNUSUAL_PUT_VOL,52,559000.0,107.5,30.7,-0.222,0.000679,SHORT_GAMMA,29627.0
2026-06-11 19:40:58,NQ,29250.0,CALL_BLOCK_SELL,173,8182900.0,473.0,30.76,0.811,0.000617,SHORT_GAMMA,29627.0
2026-06-11 19:40:58,NQ,29230.0,CALL_BLOCK_SELL,200,9760000.0,488.0,30.79,0.823,0.000592,SHORT_GAMMA,29627.0
2026-06-11 19:40:58,NQ,29200.0,CALL_BLOCK_SELL,61,3123200.0,512.0,31.02,0.838,0.000554,SHORT_GAMMA,29627.0
2026-06-11 19:40:58,NQ,29190.0,CALL_BLOCK_SELL,29,1508000.0,520.0,31.08,0.843,0.000541,SHORT_GAMMA,29627.0
2026-06-11 19:40:58,NQ,29170.0,CALL_BLOCK_SELL,73,3912800.0,536.0,31.18,0.853,0.000516,SHORT_GAMMA,29627.0
