Time,Activo,SPOT,hedge_pressure_score,hedge_velocity,hedge_exhaustion_flag,dealer_stress_score,stress_gamma_instability,stress_iv_expansion,stress_sweep_aggression,stress_hedge_acceleration,stress_vix_divergence,stress_avg_10c
2026-08-26 17:32:43,NQ,29594.0,0.0,0.0,0,15.0,0.0,0.0,0.0,15,0.0,15.0
2026-08-26 17:33:44,NQ,29598.0,56.3,0.0,0,50.6,30,20,0.0,0.6,0.0,32.8
2026-08-26 17:34:44,NQ,29596.5,73.4,350.0,0,50.4,30,20,0.0,0.4,0.0,38.7
2026-08-26 17:35:44,NQ,29609.0,67.7,1551.0,0,51.0,30,20,0.0,1.0,0.0,41.7
2026-08-26 17:36:43,NQ,29605.25,65.8,1233.75,0,50.3,30,20,0.0,0.3,0.0,43.5
2026-08-26 17:37:42,NQ,29607.0,66.4,-282.0,0,50.3,30,20,0.0,0.3,0.0,44.6
2026-08-26 17:38:42,NQ,29606.0,67.9,105.75,0,50.0,30,20,0.0,0.0,0.0,45.4
2026-08-26 17:39:42,NQ,29602.25,66.7,-669.75,0,50.1,30,20,0.0,0.1,0.0,46.0
2026-08-26 17:40:42,NQ,29606.5,64.9,71.0,0,50.2,30,20,0.0,0.2,0.0,46.4
2026-08-26 17:41:42,NQ,29606.0,65.3,525.0,0,51.3,30,20,0.0,1.3,0.0,46.9
2026-08-26 17:42:43,NQ,29600.75,66.5,-810.75,0,50.8,30,20,0.0,0.8,0.0,50.5
2026-08-26 17:43:42,NQ,29600.0,61.2,-846.0,0,57.1,30,20,7,0.1,0.0,51.1
2026-08-26 17:44:42,NQ,29610.25,77.0,nan,0,65.0,30,20,0.0,15,0.0,52.6
2026-08-26 17:45:42,NQ,29613.75,67.2,1952.5,0,65.0,30,20,0.0,15,0.0,54.0
2026-08-26 17:46:42,NQ,29613.5,62.1,461.5,0,50.0,30,20,0.0,0.0,0.0,54.0
2026-08-26 17:47:42,NQ,29611.0,54.8,-390.5,0,50.1,30,20,0.0,0.1,0.0,54.0
2026-08-26 17:48:42,NQ,29611.0,53.8,-355.0,0,50.0,30,20,0.0,0.0,0.0,54.0
2026-08-26 17:49:42,NQ,29612.0,55.0,142.0,0,57.2,30,20,7,0.2,0.0,54.7
2026-08-26 17:50:42,NQ,29612.75,59.7,248.5,0,50.2,30,20,0.0,0.2,0.0,54.7
2026-08-26 17:51:42,NQ,29610.25,58.7,-245.0,0,51.0,30,20,0.0,1.0,0.0,54.6
2026-08-26 17:52:42,NQ,29623.0,59.3,1455.5,0,58.5,30,20,7,1.5,0.0,55.4
2026-08-26 17:53:42,NQ,29606.75,59.3,-493.5,0,51.0,30,20,0.0,1.0,0.0,54.8
2026-08-26 17:54:42,NQ,29607.0,59.0,-2240.0,0,50.4,30,20,0.0,0.4,0.0,53.3
2026-08-26 17:55:42,NQ,29604.25,58.4,-350.0,0,57.1,30,20,7,0.1,0.0,52.6
2026-08-26 17:56:42,NQ,29602.0,58.5,-700.0,0,50.1,30,20,0.0,0.1,0.0,52.6
2026-08-26 17:57:42,NQ,29608.0,78.5,nan,0,65.0,30,20,0.0,15,0.0,54.1
2026-08-26 17:58:42,NQ,29605.0,58.5,420.0,0,65.0,30,20,0.0,15,0.0,55.6
2026-08-26 17:59:42,NQ,29606.0,58.5,-280.0,0,50.1,30,20,0.0,0.1,0.0,54.8
2026-08-26 18:00:42,NQ,29610.0,78.5,nan,0,65.0,30,20,0.0,15,0.0,56.3
2026-08-26 18:01:42,NQ,29607.75,58.5,246.75,0,65.0,30,20,0.0,15,0.0,57.7
2026-08-26 18:02:42,NQ,29607.75,58.3,-315.0,0,50.3,30,20,0.0,0.3,0.0,56.9
2026-08-26 18:03:42,NQ,29608.5,58.1,105.75,0,50.6,30,20,0.0,0.6,0.0,56.9
2026-08-26 18:04:42,NQ,29603.25,58.1,-630.0,0,50.6,30,20,0.0,0.6,0.0,56.9
2026-08-26 18:05:42,NQ,29607.5,58.0,-140.0,0,50.4,30,20,0.0,0.4,0.0,56.2
2026-08-26 18:06:42,NQ,29607.0,57.9,525.0,0,50.2,30,20,0.0,0.2,0.0,56.2
2026-08-26 18:07:42,NQ,29599.25,60.4,-1155.0,0,50.1,30,20,0.0,0.1,0.0,54.7
2026-08-26 18:08:42,NQ,29597.0,60.4,-1400.0,0,50.1,30,20,0.0,0.1,0.0,53.2
2026-08-26 18:09:42,NQ,29594.5,61.6,-660.25,0,50.3,30,20,0.0,0.3,0.0,53.3
2026-08-26 18:10:42,NQ,29602.0,61.6,700.0,0,50.8,30,20,0.0,0.8,0.0,51.8
2026-08-26 18:11:42,NQ,29595.25,61.3,105.0,0,50.4,30,20,0.0,0.4,0.0,50.4
2026-08-26 18:12:42,NQ,29593.5,61.3,-1181.5,0,50.4,30,20,0.0,0.4,0.0,50.4
2026-08-26 18:13:42,NQ,29593.0,61.8,-312.75,0,50.2,30,20,0.0,0.2,0.0,50.3
2026-08-26 18:14:42,NQ,29594.5,61.1,139.0,0,50.1,30,20,0.0,0.1,0.0,50.3
2026-08-26 18:15:42,NQ,29592.25,60.1,-104.25,0,50.1,30,20,0.0,0.1,0.0,50.3
2026-08-26 18:16:42,NQ,29586.5,51.3,-1120.0,0,50.5,30,20,0.0,0.5,0.0,50.3
2026-08-26 18:17:42,NQ,29586.5,52.2,-805.0,0,50.0,30,20,0.0,0.0,0.0,50.3
2026-08-26 18:18:42,NQ,29591.25,52.4,665.0,0,50.5,30,20,0.0,0.5,0.0,50.3
2026-08-26 18:19:42,NQ,29591.5,52.5,700.0,0,50.1,30,20,0.0,0.1,0.0,50.3
2026-08-26 18:20:42,NQ,29588.75,52.7,-350.0,0,50.2,30,20,0.0,0.2,0.0,50.2
2026-08-26 18:21:42,NQ,29593.75,52.7,315.0,0,57.4,30,20,7,0.4,0.0,51.0
2026-08-26 18:22:42,NQ,29599.5,52.5,1515.75,0,50.5,30,20,0.0,0.5,0.0,51.0
2026-08-26 18:23:42,NQ,29599.5,62.4,805.0,0,50.4,30,20,0.0,0.4,0.0,51.0
2026-08-26 18:24:42,NQ,29598.25,62.4,-176.25,0,50.2,30,20,0.0,0.2,0.0,51.0
2026-08-26 18:25:42,NQ,29607.5,62.4,1128.0,0,50.4,30,20,0.0,0.4,0.0,51.0
2026-08-26 18:26:42,NQ,29610.5,62.4,1739.5,0,50.4,30,20,0.0,0.4,0.0,51.0
2026-08-26 18:27:42,NQ,29595.0,62.1,-1750.0,0,51.1,30,20,0.0,1.1,0.0,51.1
