Time,Activo,SPOT,pin_probability,liquidity_void_score,dealer_trap_score,nearest_wall_strike,magnet_strike,wall_above_strike,wall_below_strike
2026-09-02 20:57:51,QQQ,708.34,0.55,0.0,0.0,710.0,708.0,710.0,695.0
2026-09-02 20:58:51,QQQ,708.36,0.55,0.0,0.0,710.0,708.0,710.0,695.0
2026-09-02 20:59:50,QQQ,708.18,0.55,0.0,0.0,710.0,708.0,710.0,695.0
2026-09-02 21:00:50,QQQ,708.15,0.55,0.0,0.0,710.0,708.0,710.0,695.0
2026-09-02 21:01:51,QQQ,708.28,0.55,0.0,0.0,710.0,708.0,710.0,695.0
2026-09-02 21:03:00,QQQ,708.26,0.55,0.0,0.0,710.0,708.0,710.0,695.0
2026-09-02 21:04:00,QQQ,708.45,0.55,0.0,0.0,710.0,708.0,710.0,695.0
2026-09-02 21:04:56,QQQ,708.36,0.55,0.0,0.0,710.0,708.0,710.0,695.0
2026-09-02 21:05:49,QQQ,708.44,0.55,0.0,0.0,710.0,708.0,710.0,695.0
2026-09-02 21:06:49,QQQ,708.59,0.55,0.0,0.0,710.0,708.0,710.0,695.0
2026-09-02 21:07:49,QQQ,708.58,0.55,0.0,0.0,710.0,708.0,710.0,695.0
2026-09-02 21:08:48,QQQ,708.73,0.55,0.0,0.0,710.0,709.0,710.0,695.0
2026-09-02 21:09:48,QQQ,708.69,0.55,0.0,0.0,710.0,709.0,710.0,695.0
2026-09-02 21:10:48,QQQ,709.0,0.55,0.0,0.0,710.0,709.0,710.0,695.0
2026-09-02 21:11:48,QQQ,709.22,0.55,0.0,0.0,710.0,709.0,710.0,695.0
2026-09-02 21:12:48,QQQ,709.24,0.55,0.0,0.0,710.0,709.0,710.0,695.0
2026-09-02 21:13:48,QQQ,709.1,0.55,0.0,0.0,710.0,709.0,710.0,695.0
2026-09-02 21:14:49,QQQ,709.17,0.55,0.0,0.0,710.0,709.0,710.0,695.0
2026-09-02 21:15:49,QQQ,709.1,0.55,0.0,0.0,710.0,709.0,710.0,695.0
2026-09-02 21:16:49,QQQ,709.16,0.55,0.0,0.0,710.0,709.0,710.0,695.0
2026-09-02 21:17:49,QQQ,709.14,0.55,0.0,0.0,710.0,709.0,710.0,695.0
2026-09-02 21:18:49,QQQ,709.31,0.55,0.0,0.0,710.0,710.0,710.0,695.0
2026-09-02 21:19:49,QQQ,709.3,0.55,0.0,0.0,710.0,710.0,710.0,695.0
2026-09-02 21:20:49,QQQ,709.34,0.55,0.0,0.0,710.0,710.0,710.0,695.0
2026-09-02 21:21:50,QQQ,709.24,0.55,0.0,0.0,710.0,709.0,710.0,695.0
2026-09-02 21:22:48,QQQ,709.26,0.55,0.0,0.0,710.0,710.0,710.0,695.0
2026-09-02 21:23:49,QQQ,709.17,0.55,0.0,0.0,710.0,709.0,710.0,695.0
2026-09-02 21:24:48,QQQ,709.2,0.55,0.0,0.0,710.0,709.0,710.0,695.0
2026-09-02 21:25:48,QQQ,709.15,0.55,0.0,0.0,710.0,709.0,710.0,695.0
2026-09-02 21:26:48,QQQ,709.01,0.55,0.0,0.0,710.0,709.0,710.0,695.0
2026-09-02 21:27:48,QQQ,709.24,0.55,0.0,0.0,710.0,709.0,710.0,695.0
2026-09-02 21:28:48,QQQ,709.24,0.55,0.0,0.0,710.0,709.0,710.0,695.0
2026-09-02 21:29:48,QQQ,709.24,0.55,0.0,0.0,710.0,709.0,710.0,695.0
2026-09-02 21:30:48,QQQ,709.28,0.55,0.0,0.0,710.0,710.0,710.0,695.0
2026-09-02 21:31:48,QQQ,709.29,0.55,0.0,0.0,710.0,710.0,710.0,695.0
2026-09-02 21:32:48,QQQ,709.28,0.55,0.0,0.0,710.0,710.0,710.0,695.0
2026-09-02 21:33:48,QQQ,709.43,0.55,0.0,0.0,710.0,710.0,710.0,695.0
2026-09-02 21:34:49,QQQ,709.39,0.55,0.0,0.0,710.0,710.0,710.0,695.0
2026-09-02 21:35:48,QQQ,709.26,0.55,0.0,0.0,710.0,710.0,710.0,695.0
2026-09-02 21:36:48,QQQ,709.21,0.55,0.0,0.0,710.0,709.0,710.0,695.0
2026-09-02 21:37:48,QQQ,709.21,0.55,0.0,0.0,710.0,709.0,710.0,695.0
2026-09-02 21:38:48,QQQ,709.24,0.55,0.0,0.0,710.0,709.0,710.0,695.0
2026-09-02 21:39:48,QQQ,709.24,0.55,0.0,0.0,710.0,709.0,710.0,695.0
2026-09-02 21:40:48,QQQ,709.23,0.55,0.0,0.0,710.0,709.0,710.0,695.0
2026-09-02 21:41:48,QQQ,709.2,0.55,0.0,0.0,710.0,709.0,710.0,695.0
2026-09-02 21:42:48,QQQ,709.17,0.55,0.0,0.0,710.0,709.0,710.0,695.0
2026-09-02 21:43:48,QQQ,709.19,0.55,0.0,0.0,710.0,709.0,710.0,695.0
