Time,Activo,SPOT,hedge_pressure_score,hedge_velocity,hedge_exhaustion_flag,dealer_stress_score,stress_gamma_instability,stress_iv_expansion,stress_sweep_aggression,stress_hedge_acceleration,stress_vix_divergence,stress_avg_10c
2026-09-08 19:35:19,ES,7677.25,0.0,0.0,0,22.0,0.0,0.0,7,15,0.0,22.0
2026-09-08 19:36:09,ES,7676.75,58.5,0.0,0,20.9,0.0,20,0.0,0.9,0.0,21.4
2026-09-08 19:37:09,ES,7676.0,65.5,-3052.5,0,26.8,5.2,20,0.0,1.6,0.0,23.2
2026-09-08 19:38:09,ES,7676.0,46.3,-1830.0,0,26.0,6.0,20,0.0,0.0,0.0,23.9
2026-09-08 19:39:08,ES,7676.75,32.3,1859.25,0,25.6,4.0,20,0.0,1.6,0.0,24.3
2026-09-08 19:40:08,ES,7678.25,29.2,5710.5,0,25.6,3.2,20,0.0,2.4,0.0,24.5
2026-09-08 19:41:08,ES,7676.75,29.7,0.0,1,26.6,4.1,20,0.0,2.5,0.0,24.8
2026-09-08 19:42:08,ES,7678.0,50.5,-631.25,1,28.1,6.2,20,0.0,1.9,0.0,25.2
2026-09-08 19:43:08,ES,7678.0,55.0,3157.5,0,28.3,8.3,20,0.0,0.0,0.0,25.5
2026-09-08 19:44:08,ES,7678.75,47.5,1921.5,0,24.4,2.9,20,0.0,1.4,0.0,25.4
2026-09-08 19:45:08,ES,7679.75,46.1,4564.0,0,23.5,1.7,20,0.0,1.8,0.0,25.6
2026-09-08 19:46:08,ES,7679.75,51.1,2608.0,0,23.4,3.4,20,0.0,0.0,0.0,25.8
2026-09-08 19:47:08,ES,7679.25,37.5,-1291.5,0,25.7,4.7,20,0.0,1.0,0.0,25.7
2026-09-08 19:48:08,ES,7679.25,38.1,-1291.5,0,24.4,4.4,20,0.0,0.0,0.0,25.5
2026-09-08 19:49:08,ES,7679.0,38.7,-642.75,0,24.6,4.1,20,0.0,0.5,0.0,25.4
2026-09-08 19:50:08,ES,7679.75,49.3,1303.5,0,27.9,6.5,20,0.0,1.4,0.0,25.7
2026-09-08 19:51:08,ES,7681.0,48.8,5338.0,0,34.7,12.3,20,0.0,2.4,0.0,26.5
2026-09-08 19:52:08,ES,7681.0,48.8,3335.0,0,30.3,10.3,20,0.0,0.0,0.0,26.7
2026-09-08 19:53:08,ES,7682.25,23.3,3420.0,0,22.3,2.5,17.3,0.0,2.5,0.0,26.1
2026-09-08 19:54:08,ES,7682.0,21.5,2721.0,0,24.2,3.6,20,0.0,0.6,0.0,26.1
2026-09-08 19:55:08,ES,7682.25,43.6,0.0,1,25.7,5.1,20,0.0,0.6,0.0,26.3
2026-09-08 19:56:08,ES,7682.0,50.5,0.0,1,23.3,2.7,20,0.0,0.6,0.0,26.3
2026-09-08 19:57:08,ES,7681.0,50.4,-3335.0,0,31.7,2.8,20,7,1.9,0.0,26.9
2026-09-08 19:58:08,ES,7681.25,50.8,-2010.75,0,27.4,6.9,20,0.0,0.5,0.0,27.2
2026-09-08 19:59:08,ES,7681.75,45.3,2034.0,0,37.2,16.0,20,0.0,1.2,0.0,28.5
2026-09-08 20:00:08,ES,7682.0,39.8,2035.5,0,26.5,6.5,20,0.0,0.1,0.0,28.3
2026-09-08 20:01:08,ES,7683.25,47.9,4185.0,0,26.6,3.9,20,0.0,2.7,0.0,27.5
2026-09-08 20:02:08,ES,7682.0,47.4,0.0,1,23.1,0.2,20,0.0,2.9,0.0,26.8
