Time,Activo,SPOT,hedge_pressure_score,hedge_velocity,hedge_exhaustion_flag,dealer_stress_score,stress_gamma_instability,stress_iv_expansion,stress_sweep_aggression,stress_hedge_acceleration,stress_vix_divergence,stress_avg_10c
2026-07-13 18:38:57,SPY,747.49,20.0,nan,0,35.0,0.0,0.0,20,15,0.0,35.0
2026-07-13 18:39:56,SPY,747.44,0.4,0.0,0,35.0,0.0,20,0.0,15,0.0,35.0
2026-07-13 18:40:56,SPY,747.46,0.4,-4003.65,0,20.3,0.0,20,0.0,0.3,0.0,30.1
2026-07-13 18:41:56,SPY,747.4,0.4,-5293.64,0,20.8,0.0,20,0.0,0.8,0.0,27.8
2026-07-13 18:42:56,SPY,747.24,0.4,-28486.26,0,22.2,0.0,20,0.0,2.2,0.0,26.7
2026-07-13 18:43:56,SPY,747.23,0.4,-21981.34,0,20.1,0.0,20,0.0,0.1,0.0,25.6
2026-07-13 18:44:56,SPY,747.16,0.4,-10246.32,0,21.0,0.0,20,0.0,1.0,0.0,24.9
2026-07-13 18:45:56,SPY,747.26,0.4,3894.99,0,21.4,0.0,20,0.0,1.4,0.0,24.5
2026-07-13 18:46:56,SPY,747.13,0.4,-3826.68,0,21.8,0.0,20,0.0,1.8,0.0,24.2
2026-07-13 18:47:56,SPY,747.12,0.4,-17834.6,0,20.1,0.0,20,0.0,0.1,0.0,23.8
2026-07-13 18:48:56,SPY,747.26,0.4,16875.17,0,21.9,0.0,20,0.0,1.9,0.0,22.5
2026-07-13 18:49:56,SPY,747.24,0.4,15536.16,0,20.3,0.0,20,0.0,0.3,0.0,21.0
2026-07-13 18:50:56,SPY,747.32,0.4,7852.86,0,21.1,0.0,20,0.0,1.1,0.0,21.1
2026-07-13 18:51:56,SPY,747.27,0.4,3899.64,0,20.7,0.0,20,0.0,0.7,0.0,21.1
2026-07-13 18:52:56,SPY,747.5,0.4,24167.16,0,23.2,0.0,20,0.0,3.2,0.0,21.2
2026-07-13 18:53:56,SPY,747.75,0.4,66781.92,0,23.5,0.0,20,0.0,3.5,0.0,21.5
2026-07-13 18:54:56,SPY,747.81,0.4,43513.15,0,20.9,0.0,20,0.0,0.9,0.0,21.5
2026-07-13 18:55:56,SPY,747.71,0.4,-5533.4,0,21.5,0.0,20,0.0,1.5,0.0,21.5
2026-07-13 18:56:56,SPY,747.8,0.4,-1401.44,0,21.3,0.0,20,0.0,1.3,0.0,21.4
2026-07-13 18:57:56,SPY,747.86,0.4,21206.85,0,20.9,0.0,20,0.0,0.9,0.0,21.5
2026-07-13 18:58:56,SPY,748.09,0.4,42421.49,0,23.4,0.0,20,0.0,3.4,0.0,21.7
2026-07-13 18:59:56,SPY,748.22,0.4,53713.08,0,22.0,0.0,20,0.0,2.0,0.0,21.8
2026-07-13 19:00:56,SPY,748.79,0.5,114224.6,0,28.6,0.0,20,0.0,8.6,0.0,22.6
2026-07-13 19:01:56,SPY,748.49,0.5,42000.39,0,24.9,0.0,20,0.0,4.9,0.0,23.0
2026-07-13 19:02:56,SPY,748.48,0.5,-48146.72,0,1.1,0.0,0.9,0.0,0.2,0.0,20.8
2026-07-13 19:03:56,SPY,748.46,0.5,-4644.99,0,20.3,0.0,20,0.0,0.3,0.0,20.5
2026-07-13 19:04:56,SPY,747.55,0.4,-125731.35,0,34.7,0.0,20,0.0,14.7,0.0,21.9
2026-07-13 19:05:56,SPY,747.56,0.4,-121842.0,0,2.7,0.0,2.5,0.0,0.1,0.0,20.0
2026-07-13 19:06:56,SPY,747.46,0.4,-12007.8,0,21.5,0.0,20,0.0,1.5,0.0,20.0
2026-07-13 19:07:56,SPY,747.16,0.4,-51221.6,0,24.2,0.0,20,0.0,4.2,0.0,20.3
2026-07-13 19:08:56,SPY,747.07,0.4,-49336.95,0,21.2,0.0,20,0.0,1.2,0.0,20.1
2026-07-13 19:09:56,SPY,747.23,0.4,9049.53,0,22.2,0.0,20,0.0,2.2,0.0,20.1
2026-07-13 19:10:56,SPY,748.0,0.4,134213.88,0,30.5,0.0,20,0.0,10.5,0.0,20.3
2026-07-13 19:11:56,SPY,748.27,0.4,156352.56,0,24.0,0.0,20,0.0,4.0,0.0,20.2
2026-07-13 19:12:56,SPY,748.22,0.4,32816.74,0,20.8,0.0,20,0.0,0.8,0.0,22.2
2026-07-13 19:13:56,SPY,748.27,0.4,0.0,0,20.8,0.0,20,0.0,0.8,0.0,22.3
2026-07-13 19:14:56,SPY,748.5,20.0,nan,0,35.0,0.0,20,0.0,15,0.0,22.3
2026-07-13 19:15:56,SPY,748.41,0.5,21506.52,0,35.0,0.0,20,0.0,15,0.0,25.5
2026-07-13 19:16:56,SPY,748.07,0.4,-62707.33,0,25.4,0.0,20,0.0,5.4,0.0,25.9
2026-07-13 19:17:56,SPY,747.75,0.4,-91807.32,0,24.9,0.0,20,0.0,4.9,0.0,26.0
2026-07-13 19:18:56,SPY,747.87,0.4,-28312.0,0,21.8,0.0,20,0.0,1.8,0.0,26.0
2026-07-13 19:19:56,SPY,747.51,0.4,-32257.68,0,25.4,0.0,20,0.0,5.4,0.0,26.4
2026-07-13 19:20:56,SPY,747.28,0.4,-76773.16,0,23.3,0.0,20,0.0,3.3,0.0,25.6
2026-07-13 19:21:56,SPY,747.75,0.4,33383.28,0,26.5,0.0,20,0.0,6.5,0.0,25.9
2026-07-13 19:22:56,SPY,747.85,0.4,80453.22,0,21.5,0.0,20,0.0,1.5,0.0,25.9
2026-07-13 19:23:56,SPY,747.58,0.4,-23075.63,0,24.0,0.0,20,0.0,4.0,0.0,26.3
2026-07-13 19:24:56,SPY,747.86,0.4,1413.38,0,24.0,0.0,20,0.0,4.0,0.0,25.2
2026-07-13 19:25:56,SPY,747.51,0.4,-9407.93,0,25.2,0.0,20,0.0,5.2,0.0,24.2
2026-07-13 19:26:56,SPY,747.56,0.4,-40607.7,0,20.7,0.0,20,0.0,0.7,0.0,23.7
