2026-06-05 22:31:00,38232587.0,65495939.0,893232266.0,1122573004.0,21917.71,-43979.47,-40083111.23,0.0,0.0,-0.9179,-0.9179,-0.9179,-0.9179,38232587.0,893232266.0,0.0,0.0,NEGATIVE,SHORT_GAMMA,DEALER_SHORT_GAMMA,0.4,BEARISH,MEDIUM,0.41363265905669,67.9475,52.26935440080145,0.0,70.0,0.4,67.9,,7350.0,7400.0,7383.74
2026-06-05 22:32:00,38232587.0,65495939.0,893232266.0,1122573004.0,21917.71,-43979.47,-40083111.23,-128302045.0,256604090.0,-0.9179,-0.9179,-0.9179,0.0,0.0,0.0,0.0,0.0,NEGATIVE,SHORT_GAMMA,DEALER_SHORT_GAMMA,0.47,BEARISH,HIGH,0.4,71.4,59.3,0.0,73.5,0.4,77.9,FLOW_EXPANSION_BEARISH|LIQUIDATION_CASCADE,7350.0,7400.0,7383.74
2026-06-07 19:22:00,4280.0,45756.0,0.0,100606.0,-0.36,-12.42,67988.8,0.0,0.0,1.0,1.0,1.0,1.0,4280.0,0.0,0.0,0.0,NEGATIVE,SHORT_GAMMA,DEALER_SHORT_GAMMA,0.41,NEUTRAL,HIGH,25.0,35.09559087107181,80.0,50.0,15.0,25.0,35.1,,7430.0,7370.0,7383.74
2026-06-07 19:23:00,4280.0,45756.0,0.0,100606.0,-0.36,-12.42,67988.8,-71041.0,142082.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,NEGATIVE,SHORT_GAMMA,DEALER_SHORT_GAMMA,0.48,NEUTRAL,HIGH,28.5,35.1,87.0,53.5,15.0,35.0,35.1,FLOW_EXPANSION_BULLISH,7430.0,7370.0,7383.74
2026-06-07 19:24:00,4280.0,55144.0,0.0,100606.0,-1.7,-13.47,74295.44,-50490.0,132694.0,1.0,1.0,1.0,0.0,0.0,0.0,6306.6408,6306.6408,NEGATIVE,SHORT_GAMMA,DEALER_SHORT_GAMMA,0.48,NEUTRAL,HIGH,30.8,35.2,91.6,55.8,15.0,35.0,35.4,FLOW_EXPANSION_BULLISH,7520.0,7370.0,7383.74
2026-06-07 19:25:00,4280.0,93644.0,0.0,100606.0,-5.34,-15.14,74425.66,-47492.0,47097.0,1.0,1.0,1.0,0.0,0.0,0.0,130.2204,3218.4306,NEGATIVE,SHORT_GAMMA,DEALER_SHORT_GAMMA,0.51,NEUTRAL,HIGH,32.3,35.5,94.5,53.8,15.0,35.0,36.1,FLOW_EXPANSION_BULLISH,7380.0,7370.0,7383.74
2026-06-07 19:26:00,4280.0,93824.0,0.0,108372.0,-4.9,-15.63,73030.89,-39583.0,52430.0,1.0,1.0,1.0,0.0,0.0,0.0,-1394.7697,-3785.595,NEGATIVE,SHORT_GAMMA,DEALER_SHORT_GAMMA,0.43,NEUTRAL,HIGH,38.5,35.7,96.4,64.7,15.0,50.0,35.9,FLOW_EXPANSION_BULLISH|DEALER_SQUEEZE|CALL_WALL_LADDERING,7600.0,7290.0,7383.74
2026-06-07 19:27:00,4280.0,161316.0,0.0,108372.0,-11.76,-19.11,79445.79,-24665.0,-33285.0,1.0,0.0,1.0,0.0,0.0,0.0,6414.898,-708.3665,NEGATIVE,SHORT_GAMMA,DEALER_SHORT_GAMMA,0.41,NEUTRAL,HIGH,33.8,36.1,97.7,59.6,15.0,25.0,36.7,,7590.0,7290.0,7383.74
2026-06-07 19:28:00,4280.0,161316.0,0.0,108372.0,-11.76,-19.11,79445.79,-24665.0,-1202.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3839.7236,NEGATIVE,SHORT_GAMMA,DEALER_SHORT_GAMMA,0.41,NEUTRAL,HIGH,30.7,36.3,91.5,56.2,15.0,25.0,36.7,,7590.0,7290.0,7383.74
2026-06-07 19:29:00,4280.0,229449.0,0.0,108372.0,-17.02,-21.31,80738.07,-36414.0,-21985.0,1.0,0.0,1.0,0.0,0.0,0.0,1292.2823,-1863.923,NEGATIVE,SHORT_GAMMA,DEALER_SHORT_GAMMA,0.36,BULLISH,HIGH,35.7,29.5,93.9,59.3,9.8,45.0,17.0,,7540.0,7290.0,7383.74
