Time,Activo,Strike,Type,Contracts,Premium,Price,IV,Delta,Gamma,DealerState,SPOT,Side,Rel,Moneyness
2026-08-13 08:33:20,SPX,7790.0,UNUSUAL_CALL_VOL,1035,388125.0,3.75,12.39,0.236,0.011796,SHORT_GAMMA,7770.85,UAC,ABOVE,19.15
2026-08-13 08:34:20,SPX,7800.0,UNUSUAL_CALL_VOL,1055,240012.0,2.27,12.09,0.161,0.009603,SHORT_GAMMA,7774.42,UAC,ABOVE,25.58
2026-08-13 08:35:20,SPX,7820.0,UNUSUAL_CALL_VOL,1183,121257.0,1.02,13.96,0.073,0.004708,SHORT_GAMMA,7776.77,UAC,ABOVE,43.23
2026-08-13 08:35:20,SPX,7800.0,UNUSUAL_CALL_VOL,1153,386255.0,3.35,13.21,0.206,0.01024,SHORT_GAMMA,7776.77,UAC,ABOVE,23.23
2026-08-13 08:35:20,SPX,7790.0,UNUSUAL_CALL_VOL,1142,725170.0,6.35,13.68,0.327,0.012544,SHORT_GAMMA,7776.77,UAC,ABOVE,13.23
2026-08-13 08:36:20,SPX,7815.0,UNUSUAL_CALL_VOL,1260,236250.0,1.88,13.97,0.122,0.006891,SHORT_GAMMA,7780.35,UAC,ABOVE,34.65
2026-08-13 08:36:20,SPX,7800.0,UNUSUAL_CALL_VOL,1577,685995.0,4.35,13.49,0.248,0.011167,SHORT_GAMMA,7780.35,UAC,ABOVE,19.65
2026-08-13 08:36:20,SPX,7575.0,UNUSUAL_PUT_VOL,1214,15175.0,0.12,37.72,-0.004,0.000157,SHORT_GAMMA,7780.35,UAP,BELOW,-205.35
2026-08-13 08:37:20,SPX,7820.0,UNUSUAL_CALL_VOL,1774,314885.0,1.77,13.78,0.118,0.006817,SHORT_GAMMA,7785.22,UAC,ABOVE,34.78
2026-08-13 08:38:20,SPX,7815.0,UNUSUAL_CALL_VOL,1564,383180.0,2.45,14.48,0.148,0.007617,SHORT_GAMMA,7782.87,UAC,ABOVE,32.13
2026-08-13 08:38:20,SPX,7800.0,UNUSUAL_CALL_VOL,1365,771225.0,5.65,14.39,0.289,0.011331,SHORT_GAMMA,7782.87,UAC,ABOVE,17.13
2026-08-13 08:40:20,SPX,7945.0,UNUSUAL_CALL_VOL,1005,2512.0,0.03,24.97,0.001,8.6e-05,SHORT_GAMMA,7786.31,UAC,ABOVE,158.69
2026-08-13 08:40:20,SPX,7830.0,UNUSUAL_CALL_VOL,1356,152550.0,1.12,14.46,0.077,0.004756,SHORT_GAMMA,7786.31,UAC,ABOVE,43.69
2026-08-13 08:40:20,SPX,7810.0,UNUSUAL_CALL_VOL,1033,356385.0,3.45,13.59,0.206,0.010027,SHORT_GAMMA,7786.31,UAC,ABOVE,23.69
2026-08-13 08:41:20,SPX,7800.0,UNUSUAL_CALL_VOL,1320,673200.0,5.1,13.0,0.29,0.012602,SHORT_GAMMA,7784.61,UAC,ABOVE,15.39
2026-08-13 08:55:32,SPX,7850.0,UNUSUAL_CALL_VOL,1071,40162.0,0.38,14.32,0.03,0.002286,SHORT_GAMMA,7793.98,UAC,ABOVE,56.02
2026-08-13 08:55:32,SPX,7840.0,UNUSUAL_CALL_VOL,1562,97625.0,0.62,13.45,0.049,0.003704,SHORT_GAMMA,7793.98,UAC,ABOVE,46.02
2026-08-13 08:55:32,SPX,7835.0,UNUSUAL_CALL_VOL,2122,169760.0,0.8,12.96,0.064,0.004684,SHORT_GAMMA,7793.98,UAC,ABOVE,41.02
2026-08-13 08:55:32,SPX,7830.0,UNUSUAL_CALL_VOL,2935,315513.0,1.08,12.6,0.084,0.005978,SHORT_GAMMA,7793.98,UAC,ABOVE,36.02
2026-08-13 08:55:32,SPX,7825.0,UNUSUAL_CALL_VOL,3944,581740.0,1.48,12.31,0.113,0.007572,SHORT_GAMMA,7793.98,UAC,ABOVE,31.02
2026-08-13 08:55:32,SPX,7820.0,UNUSUAL_CALL_VOL,6286,1272915.0,2.02,12.04,0.15,0.00942,SHORT_GAMMA,7793.98,UAC,ABOVE,26.02
2026-08-13 08:55:32,SPX,7815.0,UNUSUAL_CALL_VOL,5690,1578975.0,2.77,11.8,0.197,0.011445,SHORT_GAMMA,7793.98,UAC,ABOVE,21.02
2026-08-13 08:55:32,SPX,7810.0,UNUSUAL_CALL_VOL,7120,2741200.0,3.85,11.69,0.257,0.01343,SHORT_GAMMA,7793.98,UAC,ABOVE,16.02
2026-08-13 08:55:32,SPX,7805.0,UNUSUAL_CALL_VOL,5399,2780485.0,5.15,11.47,0.325,0.015286,SHORT_GAMMA,7793.98,UAC,ATM,11.02
2026-08-13 08:55:32,SPX,7800.0,CALL_BLOCK_BUY,12709,8705665.0,6.85,11.32,0.403,0.016663,SHORT_GAMMA,7793.98,BAC,ATM,6.02
2026-08-13 08:55:32,SPX,7800.0,UNUSUAL_PUT_VOL,2062,2855870.0,13.85,12.83,-0.585,0.014801,SHORT_GAMMA,7793.98,UAP,ATM,6.02
