717.0,0.0,0,0
716.0,0.0,0,0
715.0,0.0,0,0
714.0,0.0,0,0
713.0,0.0,0,0
712.0,0.0,0,0
711.0,0.0,0,0
710.0,0.0,0,0
709.0,0.0,0,0
708.0,0.0,0,0
707.0,0.0,0,0
706.0,0.0,0,0
705.0,0.0,0,0
704.0,0.0,0,0
703.0,0.0,0,0
702.0,0.0,0,0
701.0,0.0,0,0
700.0,0.0,0,0
699.0,0.0,0,0
698.0,0.0,0,0
697.0,0.0,0,0
696.0,0.0,0,0
695.0,0.0,0,0
694.0,0.0,0,0
693.0,0.0,0,0
692.0,0.0,0,0
691.0,0.0,0,0
690.0,0.0,0,0
689.0,0.0,0,0
688.0,0.0,0,0
687.0,0.0,0,0
686.0,0.0,0,0
685.0,0.0,0,0
684.0,0.0,0,0
683.0,0.0,0,0
682.0,0.0,0,0
681.0,0.0,0,0
680.0,0.0,0,0
679.0,0.0,0,0
678.0,0.0,0,0
677.0,0.0,0,0
676.0,0.0,0,0
675.0,0.0,0,0
674.0,0.0,0,0
673.0,0.0,0,0
672.0,0.0,0,0
671.0,0.0,0,0
670.0,0.0,0,0
669.0,0.0,0,0
668.0,0.0,0,0
667.0,0.0,0,0
666.0,0.0,0,0
665.0,0.0,0,0
664.0,0.0,0,0
663.0,0.0,0,0
662.0,0.0,0,0
661.0,0.0,0,0
660.0,0.0,0,0
659.0,0.0,0,0
658.0,0.0,0,0
657.0,0.0,0,0
656.0,0.0,0,0
655.0,0.0,0,0
654.0,0.0,0,0
653.0,0.0,0,0
