Time,MAXGEX,MINGEX,MAXVEX,MINVEX,MAXDEX,MINDEX,ZERO,BAC,SAC,BAP,SAP,MAXCP,MINCP,LONGGAMMA,SHORTGAMMA,LONGCALLS,SHORTCALLS,LONGPUTS,SHORTPUTS,ZERO_OI,SPOT
2026-05-11 02:09:00,,18.0,,15.0,75.0,20.0,17.19,,,,,25.0,15.0,15.0,20.0,20.0,30.0,15.0,20.0,20.63,17.19
2026-05-11 02:10:00,,18.0,,15.0,75.0,20.0,17.19,,,,,25.0,15.0,15.0,20.0,20.0,30.0,15.0,20.0,20.63,17.19
2026-05-11 02:11:00,,18.0,,15.0,75.0,20.0,17.19,,,,,25.0,15.0,15.0,20.0,20.0,30.0,15.0,20.0,20.63,17.19
2026-05-11 02:12:00,,18.0,,15.0,75.0,20.0,17.19,,,,,25.0,15.0,15.0,20.0,20.0,30.0,15.0,20.0,20.63,17.19
2026-05-11 02:13:00,,18.0,,15.0,75.0,20.0,17.19,,,,,25.0,15.0,15.0,20.0,20.0,30.0,15.0,20.0,20.63,17.19
2026-05-11 02:14:00,,18.0,,15.0,75.0,20.0,17.19,,,,,25.0,15.0,15.0,20.0,20.0,30.0,15.0,20.0,20.63,17.19
2026-05-11 02:15:00,,18.0,,15.0,14.0,20.0,18.21,,,,,25.0,15.0,15.0,20.0,20.0,30.0,15.0,20.0,20.61,18.21
2026-05-11 02:16:00,,18.0,,15.0,14.0,20.0,18.21,,,,,25.0,15.0,15.0,20.0,20.0,30.0,15.0,20.0,20.61,18.21
2026-05-11 02:17:00,,18.0,,15.0,14.0,20.0,18.21,,,,,25.0,15.0,15.0,20.0,20.0,30.0,15.0,20.0,20.6,18.21
2026-05-11 02:18:00,,18.0,,15.0,14.0,20.0,18.23,,,,,25.0,15.0,15.0,20.0,20.0,30.0,15.0,20.0,20.6,18.23
2026-05-11 02:19:00,,18.0,,15.0,14.0,20.0,18.23,,,,,25.0,15.0,15.0,20.0,20.0,30.0,15.0,20.0,20.6,18.23
2026-05-11 02:20:00,,18.0,,15.0,14.0,20.0,18.22,,,,,25.0,15.0,15.0,20.0,20.0,30.0,15.0,20.0,20.6,18.22
2026-05-11 02:21:00,,18.0,,15.0,14.0,20.0,18.23,,,,,25.0,15.0,15.0,20.0,20.0,30.0,15.0,20.0,20.6,18.23
2026-05-11 02:22:00,,18.0,,15.0,14.0,20.0,18.21,,,,,25.0,15.0,15.0,20.0,20.0,30.0,15.0,20.0,20.6,18.21
2026-05-11 02:23:00,,18.0,,15.0,14.0,20.0,18.21,,,,,25.0,15.0,15.0,20.0,20.0,30.0,15.0,20.0,20.6,18.21
2026-05-11 02:24:00,,18.0,,15.0,14.0,20.0,18.23,,,,,25.0,15.0,15.0,20.0,20.0,30.0,15.0,20.0,20.6,18.23
2026-05-11 02:25:00,,18.0,,15.0,14.0,20.0,18.22,,,,,25.0,15.0,15.0,20.0,20.0,30.0,15.0,20.0,20.6,18.22
2026-05-11 02:26:00,,18.0,,15.0,14.0,20.0,18.22,,,,,25.0,15.0,15.0,20.0,20.0,30.0,15.0,20.0,20.6,18.22
2026-05-11 02:27:00,,18.0,,15.0,14.0,20.0,18.22,,,,,25.0,15.0,15.0,20.0,20.0,30.0,15.0,20.0,20.6,18.22
2026-05-11 02:28:00,,18.0,,15.0,14.0,20.0,18.22,,,,,25.0,15.0,15.0,20.0,20.0,30.0,15.0,20.0,20.6,18.22
2026-05-11 02:29:00,,18.0,,15.0,14.0,20.0,18.23,,,,,25.0,15.0,15.0,20.0,20.0,30.0,15.0,20.0,20.6,18.23
2026-05-11 02:30:00,,18.0,,15.0,14.0,20.0,18.22,,,,,25.0,15.0,15.0,20.0,20.0,30.0,15.0,20.0,20.6,18.22
2026-05-11 02:31:00,,18.0,,15.0,14.0,20.0,18.22,,,,,25.0,15.0,15.0,20.0,20.0,30.0,15.0,20.0,20.6,18.22
2026-05-11 02:32:00,,18.0,,15.0,14.0,20.0,18.22,,,,,25.0,15.0,15.0,20.0,20.0,30.0,15.0,20.0,20.6,18.22
2026-05-11 02:33:00,,18.0,,15.0,14.0,20.0,18.23,,,,,25.0,15.0,15.0,20.0,20.0,30.0,15.0,20.0,20.6,18.23
2026-05-11 02:34:00,,18.0,,15.0,14.0,20.0,18.21,,,,,25.0,15.0,15.0,20.0,20.0,30.0,15.0,20.0,20.6,18.21
2026-05-11 02:35:00,,18.0,,15.0,14.0,20.0,18.21,,,,,25.0,15.0,15.0,20.0,20.0,30.0,15.0,20.0,20.6,18.21
2026-05-11 02:36:00,,18.0,,15.0,14.0,20.0,18.2,,,,,25.0,15.0,15.0,20.0,20.0,30.0,15.0,20.0,20.6,18.2
2026-05-11 02:37:00,,18.0,,15.0,14.0,20.0,18.2,,,,,25.0,15.0,15.0,20.0,20.0,30.0,15.0,20.0,20.6,18.2
2026-05-11 02:38:00,,18.0,,15.0,14.0,20.0,18.21,,,,,25.0,15.0,15.0,20.0,20.0,30.0,15.0,20.0,20.6,18.21
2026-05-11 02:39:00,,18.0,,15.0,14.0,20.0,18.21,,,,,25.0,15.0,15.0,20.0,20.0,30.0,15.0,20.0,20.6,18.21
2026-05-11 02:40:00,,18.0,,15.0,14.0,20.0,18.2,,,,,25.0,15.0,15.0,20.0,20.0,30.0,15.0,20.0,20.6,18.2
2026-05-11 02:42:00,,18.0,20.0,,14.0,20.0,18.2,,,,,25.0,15.0,20.0,20.0,20.0,30.0,15.0,20.0,20.63,18.2
2026-05-11 02:43:00,,18.0,20.0,,14.0,20.0,18.21,,,,,25.0,15.0,20.0,20.0,20.0,30.0,15.0,20.0,20.63,18.21
2026-05-11 02:44:00,,18.0,20.0,,14.0,20.0,18.22,,,,,25.0,15.0,20.0,20.0,20.0,30.0,15.0,20.0,20.63,18.22
2026-05-11 02:45:00,,18.0,20.0,,14.0,20.0,18.21,,,,,25.0,15.0,20.0,20.0,20.0,30.0,15.0,20.0,20.63,18.21
2026-05-11 02:46:00,,18.0,20.0,,14.0,20.0,18.21,,,,,25.0,15.0,20.0,20.0,20.0,30.0,15.0,20.0,20.61,18.21
2026-05-11 02:47:00,,18.0,20.0,,14.0,20.0,18.21,,,,,25.0,15.0,20.0,20.0,20.0,30.0,15.0,20.0,20.61,18.21
2026-05-11 02:48:00,,18.0,20.0,,14.0,20.0,18.21,,,,,25.0,15.0,20.0,20.0,20.0,30.0,15.0,20.0,20.61,18.21
2026-05-11 02:49:00,,18.0,20.0,,14.0,20.0,18.21,,,,,25.0,15.0,20.0,20.0,20.0,30.0,15.0,20.0,20.61,18.21
2026-05-11 02:50:00,,18.0,20.0,,14.0,20.0,18.21,,,,,25.0,15.0,20.0,20.0,20.0,30.0,15.0,20.0,20.6,18.21
2026-05-11 02:51:00,,18.0,20.0,,14.0,20.0,18.21,,,,,25.0,15.0,20.0,20.0,20.0,30.0,15.0,20.0,20.6,18.21
2026-05-11 02:52:00,,18.0,20.0,,14.0,20.0,18.21,,,,,25.0,15.0,20.0,20.0,20.0,30.0,15.0,20.0,20.6,18.21
2026-05-11 02:53:00,,18.0,20.0,,14.0,20.0,18.2,,,,,25.0,15.0,20.0,20.0,20.0,30.0,15.0,20.0,20.6,18.2
2026-05-11 02:54:00,,18.0,20.0,,14.0,20.0,18.2,,,,,25.0,15.0,20.0,20.0,20.0,30.0,15.0,20.0,20.6,18.2
2026-05-11 02:55:00,,18.0,20.0,,14.0,20.0,18.2,,,,,25.0,15.0,20.0,20.0,20.0,30.0,15.0,20.0,20.6,18.2
2026-05-11 02:56:00,,18.0,20.0,,14.0,20.0,18.2,,,,,25.0,15.0,20.0,20.0,20.0,30.0,15.0,20.0,20.61,18.2
2026-05-11 02:57:00,,18.0,20.0,,14.0,20.0,18.2,,,,,25.0,15.0,20.0,20.0,20.0,30.0,15.0,20.0,20.6,18.2
2026-05-11 02:58:00,,18.0,20.0,,14.0,20.0,18.21,,,,,25.0,15.0,20.0,20.0,20.0,30.0,15.0,20.0,20.6,18.21
2026-05-11 02:59:00,,18.0,20.0,,14.0,20.0,18.2,,,,,25.0,15.0,20.0,20.0,20.0,30.0,15.0,20.0,20.6,18.2
2026-05-11 03:00:00,,18.0,20.0,,14.0,20.0,18.19,,,,,25.0,15.0,20.0,20.0,20.0,30.0,15.0,20.0,20.61,18.19
2026-05-11 03:01:00,,18.0,20.0,,14.0,20.0,18.19,,,,,25.0,15.0,20.0,20.0,20.0,30.0,15.0,20.0,20.61,18.19
2026-05-11 03:02:00,,18.0,20.0,,14.0,20.0,18.19,,,,,25.0,15.0,20.0,20.0,20.0,30.0,15.0,20.0,20.61,18.19
2026-05-11 03:03:00,,18.0,20.0,,14.0,20.0,18.2,,,,,25.0,15.0,20.0,20.0,20.0,30.0,15.0,20.0,20.61,18.2
2026-05-11 03:04:00,,18.0,20.0,,14.0,20.0,18.19,,,,,25.0,15.0,20.0,20.0,20.0,30.0,15.0,20.0,20.62,18.19
2026-05-11 03:05:00,,18.0,20.0,,14.0,20.0,18.18,,,,,25.0,15.0,20.0,20.0,20.0,30.0,15.0,20.0,20.64,18.18
2026-05-11 03:06:00,,18.0,20.0,,14.0,20.0,19.56,,,,,25.0,15.0,20.0,20.0,20.0,30.0,15.0,20.0,20.62,18.19
2026-05-11 03:07:00,,18.0,20.0,,14.0,20.0,19.56,,,,,25.0,15.0,20.0,20.0,20.0,30.0,15.0,20.0,20.61,18.2
2026-05-11 03:08:00,,18.0,20.0,,14.0,20.0,19.56,,,,,25.0,15.0,20.0,20.0,20.0,30.0,15.0,20.0,20.61,18.22
2026-05-11 03:09:00,,18.0,20.0,,14.0,20.0,19.56,,,,,25.0,15.0,20.0,20.0,20.0,30.0,15.0,20.0,20.61,18.23
2026-05-11 03:10:00,,18.0,20.0,,14.0,20.0,19.56,,,,,25.0,15.0,20.0,20.0,20.0,30.0,15.0,20.0,20.61,18.23
2026-05-11 03:11:00,,18.0,20.0,,14.0,20.0,19.56,,,,,25.0,15.0,20.0,20.0,20.0,30.0,15.0,20.0,20.61,18.23
2026-05-11 03:12:00,,18.0,20.0,,14.0,20.0,19.56,,,,,25.0,15.0,20.0,20.0,20.0,30.0,15.0,20.0,20.61,18.23
2026-05-11 03:13:00,,18.0,20.0,,14.0,20.0,19.56,,,,,25.0,15.0,20.0,20.0,20.0,30.0,15.0,20.0,20.61,18.22
2026-05-11 03:14:00,,18.0,20.0,,14.0,20.0,19.56,,,,,25.0,15.0,20.0,20.0,20.0,30.0,15.0,20.0,20.63,18.22
2026-05-11 03:15:00,,18.0,20.0,,14.0,20.0,19.56,,,,,25.0,15.0,20.0,20.0,20.0,30.0,15.0,20.0,20.63,18.2
2026-05-11 03:16:00,,18.0,20.0,,14.0,20.0,19.56,,,,,25.0,15.0,20.0,20.0,20.0,30.0,15.0,20.0,20.63,18.18
2026-05-11 03:17:00,,18.0,20.0,,14.0,20.0,19.56,,,,,25.0,15.0,20.0,20.0,20.0,30.0,15.0,20.0,20.62,18.15
2026-05-11 03:18:00,,18.0,20.0,,14.0,20.0,19.56,,,,,25.0,15.0,20.0,20.0,20.0,30.0,15.0,20.0,20.62,18.15
2026-05-11 03:19:00,,18.0,20.0,,14.0,20.0,19.56,,,,,25.0,15.0,20.0,20.0,20.0,30.0,15.0,20.0,20.62,18.15
2026-05-11 03:20:00,,18.0,20.0,,14.0,20.0,19.56,,,,,25.0,15.0,20.0,20.0,20.0,30.0,15.0,20.0,20.62,18.15
2026-05-11 03:21:00,,18.0,20.0,,14.0,20.0,19.56,,,,,25.0,15.0,20.0,20.0,20.0,30.0,15.0,20.0,20.62,18.15
2026-05-11 03:23:00,,18.0,20.0,,14.0,20.0,19.56,,,,,25.0,15.0,20.0,20.0,20.0,30.0,15.0,20.0,20.62,18.15
2026-05-11 03:24:00,,18.0,20.0,,14.0,20.0,19.56,,,,,25.0,15.0,20.0,20.0,20.0,30.0,15.0,20.0,20.62,18.15
2026-05-11 03:25:00,,18.0,20.0,,14.0,20.0,19.56,,,,,25.0,15.0,20.0,20.0,20.0,30.0,15.0,20.0,20.62,18.15
2026-05-11 03:26:00,,18.0,20.0,,14.0,20.0,19.56,,,,,25.0,15.0,20.0,20.0,20.0,30.0,15.0,20.0,20.62,18.15
2026-05-11 03:27:00,,18.0,20.0,,14.0,20.0,19.56,,,,,25.0,15.0,20.0,20.0,20.0,30.0,15.0,20.0,20.62,18.15
2026-05-11 03:28:00,,18.0,20.0,,14.0,20.0,19.56,,,,,25.0,15.0,20.0,20.0,20.0,30.0,15.0,20.0,20.61,18.16
2026-05-11 03:29:00,,18.0,20.0,,14.0,20.0,19.56,,,,,25.0,15.0,20.0,20.0,20.0,30.0,15.0,20.0,20.61,18.18
2026-05-11 03:30:00,,18.0,20.0,,14.0,20.0,19.56,,,,,25.0,15.0,20.0,20.0,20.0,30.0,15.0,20.0,20.6,18.2
2026-05-11 03:31:00,,18.0,20.0,,14.0,20.0,19.56,,,,,25.0,15.0,20.0,20.0,20.0,30.0,15.0,20.0,20.62,18.19
2026-05-11 03:32:00,,18.0,20.0,,14.0,20.0,19.56,,,,,25.0,15.0,20.0,20.0,20.0,30.0,15.0,20.0,20.62,18.19
2026-05-11 03:33:00,,18.0,20.0,,14.0,20.0,19.56,,,,,25.0,15.0,20.0,20.0,20.0,30.0,15.0,20.0,20.62,18.18
2026-05-11 03:34:00,,18.0,20.0,,14.0,20.0,19.56,,,,,25.0,15.0,20.0,20.0,20.0,30.0,15.0,20.0,20.62,18.18
2026-05-11 03:35:00,,18.0,20.0,,14.0,20.0,19.56,,,,,25.0,15.0,20.0,20.0,20.0,30.0,15.0,20.0,20.62,18.18
2026-05-11 03:36:00,,18.0,20.0,,14.0,20.0,19.56,,,,,25.0,15.0,20.0,20.0,20.0,30.0,15.0,20.0,20.62,18.18
2026-05-11 03:37:00,,18.0,20.0,,14.0,20.0,19.56,,,,,25.0,15.0,20.0,20.0,20.0,30.0,15.0,20.0,20.62,18.18
2026-05-11 03:38:00,,18.0,20.0,,14.0,20.0,19.56,,,,,25.0,15.0,20.0,20.0,20.0,30.0,15.0,20.0,20.62,18.19
2026-05-11 03:39:00,,18.0,20.0,,14.0,20.0,19.56,,,,,25.0,15.0,20.0,20.0,20.0,30.0,15.0,20.0,20.62,18.18
2026-05-11 03:40:00,,18.0,20.0,,14.0,20.0,19.56,,,,,25.0,15.0,20.0,20.0,20.0,30.0,15.0,20.0,20.62,18.19
2026-05-11 03:41:00,,18.0,20.0,,14.0,20.0,19.56,,,,,25.0,15.0,20.0,20.0,20.0,30.0,15.0,20.0,20.62,18.19
2026-05-11 03:42:00,,18.0,20.0,,14.0,20.0,19.56,,,,,25.0,15.0,20.0,20.0,20.0,30.0,15.0,20.0,20.62,18.16
2026-05-11 03:43:00,,18.0,20.0,,14.0,20.0,19.56,,,,,25.0,15.0,20.0,20.0,20.0,30.0,15.0,20.0,20.62,18.16
2026-05-11 03:44:00,,18.0,20.0,,14.0,20.0,19.56,,,,,25.0,15.0,20.0,20.0,20.0,30.0,15.0,20.0,20.62,18.16
2026-05-11 03:45:00,,18.0,20.0,,14.0,20.0,19.56,,,,,25.0,15.0,20.0,20.0,20.0,30.0,15.0,20.0,20.62,18.16
2026-05-11 03:46:00,,18.0,20.0,,14.0,20.0,19.56,,,,,25.0,15.0,20.0,20.0,20.0,30.0,15.0,20.0,20.62,18.16
2026-05-11 03:47:00,,18.0,20.0,,14.0,20.0,19.56,,,,,25.0,15.0,20.0,20.0,20.0,30.0,15.0,20.0,20.62,18.15
2026-05-11 03:48:00,,18.0,20.0,,14.0,20.0,19.56,,,,,25.0,15.0,20.0,20.0,20.0,30.0,15.0,20.0,20.62,18.16
2026-05-11 03:49:00,,18.0,20.0,,14.0,20.0,19.56,,,,,25.0,15.0,20.0,20.0,20.0,30.0,15.0,20.0,20.62,18.15
2026-05-11 03:50:00,,18.0,20.0,,14.0,20.0,19.56,,,,,25.0,15.0,20.0,20.0,20.0,30.0,15.0,20.0,20.62,18.15
2026-05-11 03:51:00,,18.0,20.0,,14.0,20.0,19.56,,,,,25.0,15.0,20.0,20.0,20.0,30.0,15.0,20.0,20.62,18.15
2026-05-11 03:52:00,,18.0,20.0,,14.0,20.0,19.56,,,,,25.0,15.0,20.0,20.0,20.0,30.0,15.0,20.0,20.62,18.15
2026-05-11 03:53:00,,18.0,20.0,,14.0,20.0,19.56,,,,,25.0,15.0,20.0,20.0,20.0,30.0,15.0,20.0,20.62,18.15
2026-05-11 03:54:00,,18.0,20.0,,14.0,20.0,19.56,,,,,25.0,15.0,20.0,20.0,20.0,30.0,15.0,20.0,20.62,18.16
2026-05-11 03:55:00,,18.0,20.0,,14.0,20.0,19.56,,,,,25.0,15.0,20.0,20.0,20.0,30.0,15.0,20.0,20.62,18.16
2026-05-11 03:56:00,,18.0,20.0,,14.0,20.0,19.56,,,,,25.0,15.0,20.0,20.0,20.0,30.0,15.0,20.0,20.62,18.16
2026-05-11 03:57:00,,18.0,20.0,,14.0,20.0,19.56,,,,,25.0,15.0,20.0,20.0,20.0,30.0,15.0,20.0,20.62,18.16
2026-05-11 03:59:00,,18.0,20.0,,14.0,20.0,19.56,,,,,25.0,15.0,20.0,20.0,20.0,30.0,15.0,20.0,20.62,18.16
2026-05-11 04:00:00,,18.0,20.0,,14.0,20.0,19.56,,,,,25.0,15.0,20.0,20.0,20.0,30.0,15.0,20.0,20.62,18.17
2026-05-11 04:01:00,,18.0,20.0,,14.0,20.0,19.56,,,,,25.0,15.0,20.0,20.0,20.0,30.0,15.0,20.0,20.62,18.18
2026-05-11 04:02:00,,18.0,20.0,,14.0,20.0,19.56,,,,,25.0,15.0,20.0,20.0,20.0,30.0,15.0,20.0,20.62,18.17
2026-05-11 04:03:00,,18.0,20.0,,14.0,20.0,19.56,,,,,25.0,15.0,20.0,20.0,20.0,30.0,15.0,20.0,20.62,18.17
2026-05-11 04:04:00,,18.0,20.0,,14.0,20.0,19.56,,,,,25.0,15.0,20.0,20.0,20.0,30.0,15.0,20.0,20.61,18.17
2026-05-11 04:05:00,,18.0,20.0,,14.0,20.0,19.56,,,,,25.0,15.0,20.0,20.0,20.0,30.0,15.0,20.0,20.61,18.17
2026-05-11 04:06:00,,18.0,20.0,,14.0,20.0,19.56,,,,,25.0,15.0,20.0,20.0,20.0,30.0,15.0,20.0,20.62,18.15
2026-05-11 04:07:00,,18.0,20.0,,14.0,20.0,19.56,,,,,25.0,15.0,20.0,20.0,20.0,30.0,15.0,20.0,20.61,18.15
2026-05-11 04:08:00,,18.0,20.0,,14.0,20.0,19.56,,,,,25.0,15.0,20.0,20.0,20.0,30.0,15.0,20.0,20.61,18.17
2026-05-11 04:09:00,,18.0,20.0,,14.0,20.0,19.56,,,,,25.0,15.0,20.0,20.0,20.0,30.0,15.0,20.0,20.61,18.17
2026-05-11 04:10:00,,18.0,20.0,,14.0,20.0,19.56,,,,,25.0,15.0,20.0,20.0,20.0,30.0,15.0,20.0,20.61,18.17
2026-05-11 04:11:00,,18.0,20.0,,14.0,20.0,19.56,,,,,25.0,15.0,20.0,20.0,20.0,30.0,15.0,20.0,20.61,18.17
2026-05-11 04:12:00,,18.0,20.0,,14.0,20.0,19.56,,,,,25.0,15.0,20.0,20.0,20.0,30.0,15.0,20.0,20.61,18.17
2026-05-11 04:13:00,,18.0,20.0,,14.0,20.0,19.56,,,,,25.0,15.0,20.0,20.0,20.0,30.0,15.0,20.0,20.61,18.18
2026-05-11 04:14:00,,18.0,20.0,,14.0,20.0,19.56,,,,,25.0,15.0,20.0,20.0,20.0,30.0,15.0,20.0,20.61,18.17
2026-05-11 04:15:00,,18.0,20.0,,14.0,20.0,19.56,,,,,25.0,15.0,20.0,20.0,20.0,30.0,15.0,20.0,20.61,18.17
2026-05-11 04:16:00,,18.0,20.0,,14.0,20.0,19.56,,,,,25.0,15.0,20.0,20.0,20.0,30.0,15.0,20.0,20.61,18.17
2026-05-11 04:17:00,,18.0,20.0,,14.0,20.0,19.56,,,,,25.0,15.0,20.0,20.0,20.0,30.0,15.0,20.0,20.62,18.17
2026-05-11 04:18:00,,18.0,20.0,,14.0,20.0,19.56,,,,,25.0,15.0,20.0,20.0,20.0,30.0,15.0,20.0,20.62,18.16
2026-05-11 04:19:00,,18.0,20.0,,14.0,20.0,19.56,,,,,25.0,15.0,20.0,20.0,20.0,30.0,15.0,20.0,20.62,18.15
2026-05-11 04:20:00,,18.0,20.0,,14.0,20.0,19.56,,,,,25.0,15.0,20.0,20.0,20.0,30.0,15.0,20.0,20.61,18.14
2026-05-11 04:21:00,,18.0,20.0,,14.0,20.0,19.56,,,,,25.0,15.0,20.0,20.0,20.0,30.0,15.0,20.0,20.61,18.14
2026-05-11 04:22:00,,18.0,20.0,,14.0,20.0,19.55,,,,,25.0,15.0,20.0,20.0,20.0,30.0,15.0,20.0,20.61,18.14
2026-05-11 04:23:00,,18.0,20.0,,14.0,20.0,19.55,,,,,25.0,15.0,20.0,20.0,20.0,30.0,15.0,20.0,20.61,18.13
2026-05-11 04:24:00,,18.0,20.0,,14.0,20.0,19.55,,,,,25.0,15.0,20.0,20.0,20.0,30.0,15.0,20.0,20.61,18.12
2026-05-11 04:25:00,,18.0,20.0,,14.0,20.0,19.55,,,,,25.0,15.0,20.0,20.0,20.0,30.0,15.0,20.0,20.61,18.12
2026-05-11 04:26:00,,18.0,20.0,,14.0,20.0,19.55,,,,,25.0,15.0,20.0,20.0,20.0,30.0,15.0,20.0,20.61,18.13
2026-05-11 04:27:00,,18.0,20.0,,14.0,20.0,19.55,,,,,25.0,15.0,20.0,20.0,20.0,30.0,15.0,20.0,20.61,18.12
2026-05-11 04:28:00,,18.0,20.0,,14.0,20.0,19.55,,,,,25.0,15.0,20.0,20.0,20.0,30.0,15.0,20.0,20.61,18.12
2026-05-11 04:29:00,,18.0,20.0,,14.0,20.0,19.55,,,,,25.0,15.0,20.0,20.0,20.0,30.0,15.0,20.0,20.61,18.12
2026-05-11 04:30:00,,18.0,20.0,,14.0,20.0,19.55,,,,,25.0,15.0,20.0,20.0,20.0,30.0,15.0,20.0,20.62,18.12
2026-05-11 04:31:00,,18.0,20.0,,14.0,20.0,19.55,,,,,25.0,15.0,20.0,20.0,20.0,30.0,15.0,20.0,20.61,18.12
2026-05-11 04:33:00,,18.0,20.0,,14.0,20.0,19.55,,,,,25.0,15.0,20.0,20.0,20.0,30.0,15.0,20.0,20.63,18.11
2026-05-11 04:34:00,,18.0,20.0,,14.0,20.0,19.55,,,,,25.0,15.0,20.0,20.0,20.0,30.0,15.0,20.0,20.62,18.11
2026-05-11 04:35:00,,18.0,20.0,,14.0,20.0,19.55,,,,,25.0,15.0,20.0,20.0,20.0,30.0,15.0,20.0,20.62,18.12
2026-05-11 04:36:00,,18.0,20.0,,14.0,20.0,19.55,,,,,25.0,15.0,20.0,20.0,20.0,30.0,15.0,20.0,20.62,18.11
2026-05-11 04:37:00,,18.0,20.0,,14.0,20.0,19.55,,,,,25.0,15.0,20.0,20.0,20.0,30.0,15.0,20.0,20.63,18.11
2026-05-11 04:38:00,,18.0,20.0,,14.0,20.0,19.55,,,,,25.0,15.0,20.0,20.0,20.0,30.0,15.0,20.0,20.63,18.11
2026-05-11 04:39:00,,18.0,20.0,,14.0,20.0,19.55,,,,,25.0,15.0,20.0,20.0,20.0,30.0,15.0,20.0,20.63,18.11
2026-05-11 04:40:00,,18.0,20.0,,14.0,20.0,19.55,,,,,25.0,15.0,20.0,20.0,20.0,30.0,15.0,20.0,20.63,18.11
2026-05-11 04:41:00,,18.0,20.0,,14.0,20.0,19.55,,,,,25.0,15.0,20.0,20.0,20.0,30.0,15.0,20.0,20.63,18.11
2026-05-11 04:42:00,,18.0,20.0,,14.0,20.0,19.55,,,,,25.0,15.0,20.0,20.0,20.0,30.0,15.0,20.0,20.63,18.1
2026-05-11 04:43:00,,18.0,20.0,,14.0,20.0,19.55,,,,,25.0,15.0,20.0,20.0,20.0,30.0,15.0,20.0,20.63,18.07
2026-05-11 04:44:00,,18.0,20.0,,14.0,20.0,19.55,,,,,25.0,15.0,20.0,20.0,20.0,30.0,15.0,20.0,20.61,18.08
2026-05-11 04:45:00,,18.0,20.0,,14.0,20.0,19.55,,,,,25.0,15.0,20.0,20.0,20.0,30.0,15.0,20.0,20.61,18.08
2026-05-11 04:46:00,,18.0,20.0,,14.0,20.0,19.55,,,,,25.0,15.0,20.0,20.0,20.0,30.0,15.0,20.0,20.62,18.08
2026-05-11 04:47:00,,18.0,20.0,,14.0,20.0,19.55,,,,,25.0,15.0,20.0,20.0,20.0,30.0,15.0,20.0,20.62,18.08
2026-05-11 04:48:00,,18.0,20.0,,14.0,20.0,19.55,,,,,25.0,15.0,20.0,20.0,20.0,30.0,15.0,20.0,20.62,18.07
2026-05-11 04:49:00,,18.0,20.0,,14.0,20.0,19.55,,,,,25.0,15.0,20.0,20.0,20.0,30.0,15.0,20.0,20.61,18.09
2026-05-11 04:50:00,,18.0,20.0,,14.0,20.0,19.55,,,,,25.0,15.0,20.0,20.0,20.0,30.0,15.0,20.0,20.61,18.09
2026-05-11 04:51:00,,18.0,20.0,,14.0,20.0,19.55,,,,,25.0,15.0,20.0,20.0,20.0,30.0,15.0,20.0,20.62,18.1
2026-05-11 04:52:00,,18.0,20.0,,14.0,20.0,19.55,,,,,25.0,15.0,20.0,20.0,20.0,30.0,15.0,20.0,20.62,18.09
2026-05-11 04:53:00,,18.0,20.0,,14.0,20.0,19.55,,,,,25.0,15.0,20.0,20.0,20.0,30.0,15.0,20.0,20.62,18.09
2026-05-11 04:54:00,,18.0,20.0,,14.0,20.0,19.55,,,,,25.0,15.0,20.0,20.0,20.0,30.0,15.0,20.0,20.62,18.1
2026-05-11 04:55:00,,18.0,20.0,,14.0,20.0,19.55,,,,,25.0,15.0,20.0,20.0,20.0,30.0,15.0,20.0,20.62,18.12
2026-05-11 04:56:00,,18.0,20.0,,14.0,20.0,19.55,,,,,25.0,15.0,20.0,20.0,20.0,30.0,15.0,20.0,20.62,18.13
2026-05-11 04:57:00,,18.0,20.0,,14.0,20.0,19.55,,,,,25.0,15.0,20.0,20.0,20.0,30.0,15.0,20.0,20.62,18.13
2026-05-11 04:58:00,,18.0,20.0,,14.0,20.0,19.55,,,,,25.0,15.0,20.0,20.0,20.0,30.0,15.0,20.0,20.61,18.14
2026-05-11 04:59:00,,18.0,20.0,,14.0,20.0,19.55,,,,,25.0,15.0,20.0,20.0,20.0,30.0,15.0,20.0,20.61,18.14
2026-05-11 05:00:00,,18.0,20.0,,14.0,20.0,19.55,,,,,25.0,15.0,20.0,20.0,20.0,30.0,15.0,20.0,20.61,18.14
2026-05-11 05:01:00,,18.0,20.0,,14.0,20.0,19.55,,,,,25.0,15.0,20.0,20.0,20.0,30.0,15.0,20.0,20.61,18.13
2026-05-11 05:02:00,,18.0,20.0,,14.0,20.0,19.55,,,,,25.0,15.0,20.0,20.0,20.0,30.0,15.0,20.0,20.61,18.13
2026-05-11 05:03:00,,18.0,20.0,,14.0,20.0,19.55,,,,,25.0,15.0,20.0,20.0,20.0,30.0,15.0,20.0,20.61,18.13
2026-05-11 05:04:00,,18.0,20.0,,14.0,20.0,19.55,,,,,25.0,15.0,20.0,20.0,20.0,30.0,15.0,20.0,20.61,18.14
2026-05-11 05:05:00,,18.0,20.0,,14.0,20.0,19.55,,,,,25.0,15.0,20.0,20.0,20.0,30.0,15.0,20.0,20.61,18.14
2026-05-11 05:06:00,,18.0,20.0,,14.0,20.0,19.55,,,,,25.0,15.0,20.0,20.0,20.0,30.0,15.0,20.0,20.61,18.14
2026-05-11 05:07:00,,18.0,20.0,,14.0,20.0,19.55,,,,,25.0,15.0,20.0,20.0,20.0,30.0,15.0,20.0,20.61,18.14
